Proposed (CP)
0.009218494
0.031716333
0.011485931
0.005867611
0.013947378
0.001994852
0.01757418
0.009748635
0.01278708
0.028943453
0.007100129
0.027467182
0.012935467
0.010273778
0.000443299
0.011556937
0.002612481
0.01295905
0.016115652
0.017267441
0.003278713
0.008136803
0.008933774
0.007165234
0.006798186
0.02358415
0.00253738
0.013527551
0.009882905
0.001204518
0.013527314
0.004167877
0.012616175
0.054551767
0.008130776
0.003425395
0.003357339
0.007788875
0.017639588
0.006702196
0.004677829
0.014705424
0.012094618
0.008544051
0.008006577
0.001526024
0.022175486
0.003058251
0.001578293
0.004985542
0.000443697
0.008549216
0.01102203
0.006457702
0.011065706
0.009358271
0.007984286
0.008378568
0.01638339
0.010909522
0.003918794
0.001923367
0.008863439
0.001355441
0.007210201
0.018297129
0.005796398
0.009997188
0.016161415
0.003948293
0.006479182
0.01863479
0.007216641
0.002959804
0.002612975
0.015375065
0.021990616
0.01863436
0.019291918
0.008765723
0.004236906
0.001305834
0.013457201
0.009459956
0.010146629
0.002317826
0.02185511
0.020522646
0.006012507
0.009969414
0.00344984
0.012270829
0.02268687
0.002682977
0.009316351
